filename,dimensions,level_count,level_0_dimensions,level_0_downsample,level_1_dimensions,level_1_downsample,level_2_dimensions,level_2_downsample,level_3_dimensions,level_3_downsample
TCGA-NJ-A55R-01Z-00-DX1.2E2B3642-4E1C-47DB-AF7B-988D586C0986.svs,"(139439, 70762)",4,"(139439, 70762)",1.0,"(34859, 17690)",4.00009955960677,"(8714, 4422)",16.001991394042786,"(2178, 1105)",64.02979424022206
TCGA-L4-A4E5-01Z-00-DX1.C2A5EF71-1F40-4E34-AC30-58D7121C1338.svs,"(108528, 91818)",4,"(108528, 91818)",1.0,"(27132, 22954)",4.000043565391653,"(6783, 5738)",16.000871383757406,"(3391, 2869)",32.004101953595615
TCGA-49-6767-01Z-00-DX1.53459c0e-b8ec-4893-9910-87b63c503134.svs,"(113294, 83023)",4,"(113294, 83023)",1.0,"(28323, 20755)",4.000107578736065,"(7080, 5188)",16.002434344358342,"(3540, 2594)",32.004868688716684
TCGA-64-1680-01Z-00-DX1.9CB14F20-E7B0-49A1-A327-404B3160FD65.svs,"(73703, 52292)",4,"(73703, 52292)",1.0,"(18425, 13073)",4.000081411126187,"(4606, 3268)",16.001371873523492,"(2303, 1634)",32.002743747046985
TCGA-75-6211-01Z-00-DX1.3E7B5948-521E-48EE-9204-80F5713ECD25.svs,"(57967, 25753)",3,"(57967, 25753)",1.0,"(14491, 6438)",4.000181176395783,"(3622, 1609)",16.004867447361764,,
TCGA-49-4494-01Z-00-DX1.2bf10e85-465a-4b17-abd7-3565f0e538a5.svs,"(119905, 84057)",4,"(119905, 84057)",1.0,"(29976, 21014)",4.000040473672044,"(7494, 5253)",16.00092337338365,"(3747, 2626)",32.004893531479155
TCGA-95-7562-01Z-00-DX1.C722891A-C5C6-4F0D-A73F-259FA8DB2394.svs,"(91264, 79360)",4,"(91264, 79360)",1.0,"(22816, 19840)",4.0,"(5704, 4960)",16.0,"(2852, 2480)",32.0
TCGA-62-A471-01Z-00-DX1.51A235BB-7F67-4C0D-8B15-2E26116D8822.svs,"(97105, 95566)",4,"(97105, 95566)",1.0,"(24276, 23891)",4.00006245324003,"(6069, 5972)",16.001254522533177,"(3034, 2986)",32.00514585534516
TCGA-86-7954-01Z-00-DX1.0a063ee6-18b7-4b66-9726-04fb452156cb.svs,"(66187, 64090)",4,"(66187, 64090)",1.0,"(16546, 16022)",4.00015307053249,"(4136, 4005)",16.00257822668473,"(2068, 2002)",32.009153080961596
TCGA-78-7153-01Z-00-DX1.5190321a-f1aa-4c6e-b4b9-6767b779682b.svs,"(97843, 84131)",4,"(97843, 84131)",1.0,"(24460, 21032)",4.000132644505107,"(6115, 5258)",16.000530578020427,"(3057, 2629)",32.00367818099946
TCGA-49-6744-01Z-00-DX4.a3d7995d-399f-4c53-aab8-adc4ea4dbfa8.svs,"(100720, 83902)",4,"(100720, 83902)",1.0,"(25180, 20975)",4.000047675804529,"(6295, 5243)",16.001335113484647,"(3147, 2621)",32.00826511007679
TCGA-55-A48Z-01Z-00-DX1.0867DC6A-2A51-4CF1-AE3F-0526CE2DD740.svs,"(105517, 47425)",4,"(105517, 47425)",1.0,"(26379, 11856)",4.0000611272109,"(6594, 2964)",16.00115443557448,"(3297, 1482)",32.00230887114896
TCGA-44-6146-01Z-00-DX1.8db8c567-690e-4df3-98a9-f241b6a8d811.svs,"(106476, 39323)",4,"(106476, 39323)",1.0,"(26619, 9830)",4.000152594099695,"(6654, 2457)",16.003140215493687,"(3327, 1228)",32.01279691185239
TCGA-55-7227-01Z-00-DX1.e1a9e09c-4a50-4ee5-b1e4-2c7ae34dc913.svs,"(60432, 40714)",3,"(60432, 40714)",1.0,"(15108, 10178)",4.000098251129888,"(3777, 2544)",16.00196540880503,,
TCGA-80-5607-01Z-00-DX1.94C9CF78-2F79-4A0B-8939-1CD9B915222D.svs,"(31982, 29650)",3,"(31982, 29650)",1.0,"(7995, 7412)",4.00025999452572,"(1998, 1853)",16.004043168910954,,
TCGA-49-AARO-01Z-00-DX1.FB8C82DC-F823-43CF-A8EA-1208C767AF54.svs,"(75696, 77232)",4,"(75696, 77232)",1.0,"(18924, 19308)",4.0,"(4731, 4827)",16.0,"(2365, 2413)",32.006698038899586
TCGA-50-8459-01Z-00-DX1.24D876E7-5265-4C5D-A215-0BAE5450EEF3.svs,"(112336, 91213)",4,"(112336, 91213)",1.0,"(28084, 22803)",4.0000219269394375,"(7021, 5700)",16.001140350877193,"(3510, 2850)",32.004559904033584
TCGA-75-5122-01Z-00-DX1.627FD712-3881-44CC-83E0-6C4DFC6C88C1.svs,"(53969, 21895)",3,"(53969, 21895)",1.0,"(13492, 5473)",4.000311131718553,"(3373, 1368)",16.002706715523864,,
TCGA-49-4488-01Z-00-DX3.341ea7ac-ee5f-4ad2-9d01-d81a4d2e9b13.svs,"(153479, 84846)",4,"(153479, 84846)",1.0,"(38369, 21211)",4.00008623940942,"(9592, 5302)",16.00168514391315,"(2398, 1325)",64.01881804019072
TCGA-49-4506-01Z-00-DX1.b13b8ef2-fd06-4309-a767-696a9afeaedd.svs,"(103598, 69468)",4,"(103598, 69468)",1.0,"(25899, 17367)",4.000038611529403,"(6474, 4341)",16.00246341807611,"(3237, 2170)",32.00861410904163
TCGA-69-7980-01Z-00-DX1.8bbf8cc0-eca7-49e5-a022-c22e3e6ed6dc.svs,"(92087, 86111)",4,"(92087, 86111)",1.0,"(23021, 21527)",4.000134837836133,"(5755, 5381)",16.002001959786753,"(2877, 2690)",32.00975930111007
TCGA-62-A46U-01Z-00-DX1.5129535F-8B6A-4647-8A88-3EE125642874.svs,"(94220, 85152)",4,"(94220, 85152)",1.0,"(23555, 21288)",4.0,"(5888, 5322)",16.001019021739133,"(2944, 2661)",32.002038043478265
TCGA-55-8090-01Z-00-DX1.83f86d5f-7cb9-443a-a812-b19ba4aea836.svs,"(35492, 29098)",3,"(35492, 29098)",1.0,"(8873, 7274)",4.00013747594171,"(2218, 1818)",16.003651988282687,,
